group_type,group_name,n_obs,coef_ln_effective_price,std_err,p_value,mean_conversion,mean_effective_price
user_lifecycle,new_users,22645,-0.052704612162681005,0.003659587501053722,5.042023454616335e-47,0.042305144623537204,48.01449838652499
user_lifecycle,loyal_users,10447,-0.05248471884516649,0.012298500958372514,1.9761340427486825e-05,0.03895855269455346,48.47791754030676
user_lifecycle,mid_tenure_users,20863,-0.04594619467616733,0.00276879421078747,7.6635284619236465e-62,0.04107750563198006,48.30325640567366
urgency,high_urgency_window,29540,-0.043697639322406376,0.0029760866295266133,8.294148762874472e-49,0.038490182802979014,48.423521850330395
urgency,non_high_urgency_window,24415,-0.05740225304443524,0.004838096266812845,1.8068574890812193e-32,0.04443989350808929,47.964657933207164
market_segment,dense_urban,20147,-0.05047971669633243,0.0032775257290064592,1.5923543995549337e-53,0.040899389487268574,48.57511353873844
market_segment,mixed_regional,13583,-0.03958018576187397,0.001901003925566227,2.8119391699569743e-96,0.03931384819259368,47.822576662947945
market_segment,suburban,20225,-0.05656635994865611,0.005301745938048218,1.4156269326701205e-26,0.04271940667490729,48.122179857613204
