spec,target,coef,std_err,p_value,n_obs
baseline_exclude_contaminated,ln_effective_price,-0.04990484394912254,0.00325867571985612,6.122252838311228e-53,53955
include_contamination_controls,ln_effective_price,-0.046362249824579455,0.0029057100379313574,2.6059814433294623e-57,60000
alt_price_total_paid,ln_total_paid,-0.04990484394912256,0.003258675719856093,6.122252838298734e-53,53955
winsorized_price_1_99,ln_effective_price_w,-0.05050776075462345,0.0034702120174747633,5.4555424107739866e-48,53955
placebo_preperiod_rollout,placebo_treat,-0.008573173190429034,0.007199705354985857,0.2337449775000675,20909
